strengths wavelengths species
0.222 3853.4659 "Mn 1"
0.418 3853.4767 "CN 1"
0.408 3853.5139 "CN 1"
0.277 3853.6645 "Si 2"
0.689 3853.73 "Ti 1"
0.413 3854.185 "Ce 2"
0.358 3854.2 "Sm 2"
0.799 3854.215 "Cr 1"
0.552 3854.2723 "Fe 1"
0.469 3854.319 "Ce 2"
0.87 3854.3659 "Fe 1"
0.415 3854.5525 "CN 1"
0.405 3854.5883 "CN 1"
0.621 3854.7769 "Cr 1"
0.715 3855.285 "Cr 1"
0.241 3855.298 "Ce 2"
0.771 3855.3146 "Fe 1"
0.816 3855.3627 "V 1"
0.527 3855.461 "Zr 2"
0.757 3855.567 "Cr 1"
0.412 3855.6094 "CN 1"
0.401 3855.6445 "CN 1"
0.87 3855.8404 "V 1"
0.352 3855.8452 "Ni 1"
0.849 3855.8465 "Fe 1"
0.562 3856.0175 "Si 2"
0.451 3856.0324 "Fe 1"
0.694 3856.271 "Cr 1"
0.98 3856.3711 "Fe 1"
0.498 3856.5347 "Mn 1"
0.653 3856.6167 "Fe 1"
0.407 3856.6478 "CN 1"
0.396 3856.6813 "CN 1"
0.295 3856.7972 "Co 1"
0.501 3857.5747 "Ni 1"
0.608 3857.6172 "Cr 1"
0.786 3857.624 "Cr 1"
0.402 3857.6677 "CN 1"
0.39 3857.6993 "CN 1"
0.533 3857.8215 "Fe 1"
0.547 3857.8346 "Fe 1"
0.341 3857.8963 "Ti 1"
0.719 3858.14 "Ti 1"
0.284 3858.184 "Fe 1"
0.975 3858.2968 "Ni 1"
0.824 3858.4726 "Fe 1"
0.396 3858.6679 "CN 1"
0.384 3858.6996 "CN 1"
0.391 3858.8265 "Fe 1"
0.801 3858.86 "Mg 1"
0.801 3858.9171 "Cr 1"
0.642 3858.9176 "Fe 1"
0.944 3859.2123 "Fe 1"
0.711 3859.4531 "Fe 1"
0.544 3859.5908 "Cr 1"
0.39 3859.649 "CN 1"
0.376 3859.6791 "CN 1"
0.98 3859.911 "Fe 1"
0.266 3860.13 "Cr 1"
0.31 3860.2854 "Cr 1"
0.592 3860.2921 "Cr 1"
0.582 3860.4737 "Fe 1"
0.383 3860.6122 "CN 1"
0.369 3860.6401 "CN 1"
0.507 3860.672 "Cr 1"
0.615 3860.7295 "Fe 1"
0.389 3861.0791 "Ti 1"
0.896 3861.1654 "Co 1"
0.865 3861.3324 "Fe 1"
0.876 3861.3433 "Fe 1"
0.374 3861.5548 "CN 1"
0.359 3861.5829 "CN 1"
0.843 3861.5909 "Fe 1"
0.253 3862.2173 "V 1"
0.534 3862.2468 "Cr 1"
0.658 3862.3609 "Fe 1"
0.364 3862.4791 "CN 1"
0.348 3862.5052 "CN 1"
0.228 3862.542 "Cr 1"
0.232 3862.57 "Nd 2"
0.439 3862.5954 "Si 2"
0.742 3862.7842 "Cr 1"
0.563 3862.8249 "Ti 1"
0.749 3863.0637 "Ni 1"
0.423 3863.32 "Nd 2"
0.353 3863.3847 "CN 1"
0.337 3863.4087 "CN 1"
0.738 3863.41 "Nd 2"
0.343 3863.4408 "Cr 1"
0.561 3863.5377 "Ti 1"
0.364 3863.6037 "Co 1"
0.533 3863.63 "Cr 1"
0.822 3863.6906 "Fe 1"
0.892 3863.741 "Fe 1"
0.588 3863.7854 "V 2"
0.208 3863.8597 "V 1"
0.349 3863.863 "Fe 1"
0.261 3863.87 "Zr 1"
0.737 3864.103 "Mo 1"
0.341 3864.2698 "CN 1"
0.324 3864.2925 "CN 1"
0.801 3864.3008 "Fe 1"
0.221 3864.3093 "Fe 1"
0.262 3864.4837 "Ti 1"
0.681 3864.4851 "Fe 1"
0.669 3864.591 "Fe 1"
0.824 3864.8561 "V 1"
0.327 3865.1361 "CN 1"
0.309 3865.1582 "CN 1"
0.419 3865.3535 "Fe 1"
0.632 3865.4547 "Fe 1"
0.976 3865.5229 "Fe 1"
0.311 3865.596 "Cr 2"
0.336 3865.6695 "Mn 1"
0.389 3865.8973 "Fe 1"
0.263 3865.9298 "Fe 1"
0.512 3865.9628 "Cr 1"
0.313 3865.9836 "CN 1"
0.293 3866.0038 "CN 1"
0.625 3866.0891 "Fe 1"
0.737 3866.44 "Ti 1"
0.624 3866.7219 "V 2"
0.6 3866.77 "V 2"
0.295 3866.8099 "CN 1"
0.279 3866.8291 "CN 1"
0.205 3866.8321 "Co 1"
0.728 3866.8394 "Fe 1"
0.591 3866.9227 "Fe 1"
0.627 3866.9626 "Fe 1"
0.776 3867.021 "Fe 1"
0.924 3867.2157 "Fe 1"
0.725 3867.4381 "Fe 1"
0.259 3867.4458 "Fe 1"
0.533 3867.5832 "Fe 1"
0.495 3867.6021 "V 1"
0.28 3867.6128 "CN 1"
0.262 3867.6339 "CN 1"
0.296 3867.6647 "Fe 1"
0.41 3867.7378 "Ti 1"
0.867 3867.9202 "Fe 1"
0.206 3867.9275 "Cr 1"
0.589 3868.0627 "Fe 1"
0.818 3868.2337 "Fe 1"
0.248 3868.2676 "Cr 1"
0.479 3868.3114 "Ni 1"
0.714 3868.4 "Ti 1"
0.264 3868.4045 "CN 1"
0.245 3868.4222 "CN 1"
0.467 3868.5487 "Fe 1"
0.572 3868.7201 "Fe 1"
0.395 3869.05 "Nd 2"
0.246 3869.1726 "CN 1"
0.224 3869.1892 "CN 1"
0.624 3869.2293 "Fe 1"
0.597 3869.272 "Ti 1"
0.889 3869.5581 "Fe 1"
0.239 3869.5998 "Ti 1"
0.855 3869.6074 "Fe 1"
0.703 3869.6528 "Fe 1"
0.52 3869.8081 "Fe 1"
0.202 3869.8309 "CN 1"
0.591 3869.884 "Fe 1"
0.226 3869.9195 "CN 1"
0.202 3869.9383 "CN 1"
0.206 3870.0701 "CN 1"
0.202 3870.1179 "CN 1"
0.791 3870.1781 "Fe 1"
0.21 3870.282 "CN 1"
0.205 3870.3391 "CN 1"
0.2 3870.36 "CN 1"
0.728 3870.4774 "Ca 1"
0.213 3870.4799 "CN 1"
0.208 3870.5327 "CN 1"
0.285 3870.5345 "Co 1"
0.204 3870.5509 "CN 1"
0.348 3870.6035 "Cr 1"
0.206 3870.6572 "CN 1"
0.219 3870.6617 "CN 1"
0.213 3870.7149 "CN 1"
0.211 3870.7149 "CN 1"
0.203 3870.751 "CN 1"
0.807 3870.7894 "Fe 1"
0.201 3870.7973 "CN 1"
0.221 3870.817 "CN 1"
0.216 3870.8702 "CN 1"
0.214 3870.8721 "CN 1"
0.646 3870.9004 "Fe 1"
0.208 3870.9061 "CN 1"
0.223 3870.956 "CN 1"
0.218 3871.0069 "CN 1"
0.21 3871.0422 "CN 1"
0.243 3871.075 "V 1"
0.225 3871.0791 "CN 1"
0.219 3871.1068 "CN 1"
0.22 3871.1248 "CN 1"
0.22 3871.1251 "CN 1"
0.213 3871.1589 "CN 1"
0.225 3871.1818 "CN 1"
0.221 3871.2218 "CN 1"
0.223 3871.222 "CN 1"
0.702 3871.2221 "Fe 1"
0.215 3871.2578 "CN 1"
0.226 3871.2579 "CN 1"
0.225 3871.298 "CN 1"
0.22 3871.2981 "CN 1"
0.229 3871.3292 "CN 1"
0.218 3871.3292 "CN 1"
0.226 3871.3379 "CN 1"
0.221 3871.3599 "CN 1"
0.228 3871.366 "CN 1"
0.348 3871.369 "CH 1"
0.227 3871.3819 "CN 1"
0.219 3871.3821 "CN 1"
0.228 3871.3929 "CN 1"
0.228 3871.393 "CN 1"
0.221 3871.4167 "CN 1"
0.222 3871.417 "CN 1"
0.223 3871.438 "CN 1"
0.223 3871.438 "CN 1"
0.211 3871.5029 "CN 1"
0.383 3871.5184 "Cr 1"
0.327 3871.549 "CH 1"
0.208 3871.5732 "CN 1"
0.474 3871.5936 "Ni 1"
0.724 3871.64 "La 2"
0.37 3871.677 "CH 1"
0.908 3871.7479 "Fe 1"
0.363 3871.784 "CH 1"
0.352 3871.9 "CH 1"
0.329 3872.0263 "Cr 1"
0.383 3872.059 "CH 1"
0.739 3872.1 "Dy 2"
0.22 3872.1837 "CN 1"
0.217 3872.2541 "CN 1"
0.295 3872.288 "CH 1"
0.977 3872.501 "Fe 1"
0.76 3872.5403 "Ca 1"
0.424 3872.5614 "Ca 1"
0.626 3872.5619 "Fe 1"
0.325 3872.7 "CH 1"
0.23 3872.7542 "CN 1"
0.332 3872.7593 "Fe 2"
0.372 3872.829 "CH 1"
0.861 3872.9209 "Fe 1"
0.227 3872.9671 "CN 1"
0.389 3873.081 "CH 1"
0.95 3873.1139 "Co 1"
0.653 3873.2 "Ti 1"
0.238 3873.5061 "CN 1"
0.309 3873.5419 "Cr 1"
0.252 3873.557 "CH 1"
0.235 3873.5701 "CN 1"
0.937 3873.7601 "Fe 1"
0.937 3873.9548 "Co 1"
0.81 3874.0534 "Fe 1"
0.286 3874.058 "CH 1"
0.309 3874.17 "Tb 2"
0.274 3874.5034 "Cr 1"
0.745 3874.5051 "Cr 1"
0.375 3874.546 "CH 1"
0.389 3874.778 "CH 1"
0.827 3875.0716 "V 1"
0.314 3875.114 "Cr 1"
0.498 3875.1148 "Cr 1"
0.326 3875.232 "Ti 1"
0.717 3875.261 "Ti 1"
0.28 3875.6446 "V 2"
0.441 3875.6546 "Fe 1"
0.784 3875.7763 "Ca 1"
0.421 3875.8043 "Ca 1"
0.298 3875.86 "Nd 2"
0.604 3875.8981 "V 1"
0.234 3875.963 "CH 1"
0.928 3876.0396 "Fe 1"
0.754 3876.0805 "V 1"
0.406 3876.4816 "Fe 1"
0.43 3876.6707 "Fe 1"
0.785 3876.8242 "Co 1"
0.827 3876.8399 "Co 1"
0.338 3876.8645 "Ni 1"
0.851 3876.9638 "Ni 1"
0.372 3876.979 "CH 1"
0.235 3877.1834 "Pr 2"
0.385 3877.193 "CH 1"
0.387 3877.2842 "Cr 1"
0.522 3877.5907 "Ti 1"
0.977 3878.0177 "Fe 1"
0.817 3878.1829 "Fe 1"
0.667 3878.2867 "Y 2"
0.887 3878.306 "Mg 1"
0.38 3878.3668 "Ce 2"
0.979 3878.5728 "Fe 1"
0.401 3878.58 "Nd 2"
0.933 3878.6707 "Fe 1"
0.779 3878.7074 "V 2"
0.908 3878.7259 "Fe 1"
0.555 3878.7469 "Co 1"
0.203 3878.7481 "CN 1"
0.325 3878.826 "CN 1"
0.32 3878.887 "CN 1"
0.224 3879.1758 "CN 1"
0.201 3879.181 "CN 1"
0.721 3879.2032 "Cr 1"
0.333 3879.2482 "CN 1"
0.51 3879.2601 "Cr 1"
0.328 3879.3082 "CN 1"
0.452 3879.54 "Nd 2"
0.244 3879.5722 "CN 1"
0.222 3879.5888 "CN 1"
0.341 3879.6492 "CN 1"
0.335 3879.7082 "CN 1"
0.262 3879.9583 "CN 1"
0.242 3879.9727 "CN 1"
0.257 3880.025 "Fe 1"
0.348 3880.0301 "CN 1"
0.342 3880.0881 "CN 1"
0.365 3880.186 "CH 1"
0.276 3880.3226 "CN 1"
0.259 3880.3381 "CN 1"
0.312 3880.37 "Nd 2"
0.354 3880.3901 "CN 1"
0.375 3880.392 "CH 1"
0.349 3880.4471 "CN 1"
0.22 3880.611 "Er 2"
0.294 3880.6624 "CN 1"
0.277 3880.6815 "CN 1"
0.362 3880.7302 "CN 1"
0.55 3880.77 "Nd 2"
0.357 3880.7859 "CN 1"
0.31 3880.9899 "CN 1"
0.29 3881.0073 "CN 1"
0.37 3881.0491 "CN 1"
0.363 3881.1044 "CN 1"
0.613 3881.2064 "Cr 1"
0.324 3881.2932 "CN 1"
0.306 3881.3113 "CN 1"
0.375 3881.3482 "CN 1"
0.535 3881.3951 "Ti 1"
0.37 3881.4013 "CN 1"
0.337 3881.5741 "CN 1"
0.32 3881.5943 "CN 1"
0.381 3881.626 "CN 1"
0.375 3881.6783 "CN 1"
0.348 3881.8352 "CN 1"
0.332 3881.856 "CN 1"
0.848 3881.8592 "Ni 1"
0.918 3881.8739 "Co 1"
0.386 3881.883 "CN 1"
0.38 3881.9342 "CN 1"
0.813 3881.9739 "Fe 1"
0.359 3882.0761 "CN 1"
0.343 3882.0981 "CN 1"
0.391 3882.1192 "CN 1"
0.75 3882.14 "Ti 1"
0.384 3882.1702 "CN 1"
0.837 3882.2865 "Ti 2"
0.368 3882.295 "CN 1"
0.354 3882.3193 "CN 1"
0.7 3882.32 "Ti 1"
0.395 3882.3352 "CN 1"
0.389 3882.3842 "CN 1"
0.388 3882.4447 "Ce 2"
0.377 3882.4942 "CN 1"
0.362 3882.5203 "CN 1"
0.4 3882.5304 "CN 1"
0.392 3882.5779 "CN 1"
0.384 3882.6732 "CN 1"
0.371 3882.6992 "CN 1"
0.403 3882.7053 "CN 1"
0.22 3882.7329 "Fe 1"
0.396 3882.7522 "CN 1"
0.39 3882.83 "CN 1"
0.406 3882.8582 "CN 1"
0.378 3882.8583 "CN 1"
0.805 3882.89 "Ti 1"
0.399 3882.9043 "CN 1"
0.395 3882.9675 "CN 1"
0.409 3882.9912 "CN 1"
0.384 3882.9974 "CN 1"
0.401 3883.0365 "CN 1"
0.4 3883.0841 "CN 1"
0.283 3883.0974 "Cr 1"
0.411 3883.1043 "CN 1"
0.389 3883.1138 "CN 1"
0.403 3883.1467 "CN 1"
0.404 3883.179 "CN 1"
0.412 3883.1948 "CN 1"
0.255 3883.2 "V 2"
0.393 3883.2108 "CN 1"
0.404 3883.2369 "CN 1"
0.407 3883.2537 "CN 1"
0.519 3883.2594 "Fe 1"
0.24 3883.2604 "Mn 1"
0.413 3883.2657 "CN 1"
0.899 3883.2798 "Fe 1"
0.879 3883.287 "Cr 1"
0.397 3883.2871 "CN 1"
0.251 3883.2992 "Cr 1"
0.405 3883.3066 "CN 1"
0.41 3883.3078 "CN 1"
0.414 3883.3154 "CN 1"
0.288 3883.3354 "Cr 1"
0.412 3883.341 "CN 1"
0.399 3883.3419 "CN 1"
0.414 3883.3449 "CN 1"
0.413 3883.3526 "CN 1"
0.405 3883.3549 "CN 1"
0.402 3883.3766 "CN 1"
0.405 3883.3828 "CN 1"
0.404 3883.3894 "CN 1"
0.585 3883.635 "Cr 1"
0.207 3884.0872 "Ti 1"
0.355 3884.226 "CH 1"
0.911 3884.3581 "Fe 1"
0.363 3884.414 "CH 1"
0.23 3884.4713 "Cr 1"
0.238 3884.5883 "Ni 1"
0.769 3884.6028 "Co 1"
0.734 3884.6632 "Fe 1"
0.501 3884.8361 "V 2"
0.543 3885.0666 "Cr 1"
0.815 3885.1452 "Fe 1"
0.872 3885.214 "Cr 1"
0.662 3885.2746 "Co 1"
0.412 3885.28 "Sm 2"
0.928 3885.5101 "Fe 1"
0.844 3885.749 "Fe 1"
0.583 3885.8697 "Ni 1"
0.241 3885.9093 "Fe 1"
0.528 3886.057 "Cr 1"
0.767 3886.2605 "Fe 1"
0.979 3886.2818 "Fe 1"
0.558 3886.37 "La 2"
0.234 3886.5258 "Fe 1"
0.222 3886.7508 "Fe 1"
0.867 3886.795 "Cr 1"
0.975 3887.0477 "Fe 1"
0.275 3887.87 "Nd 2"
0.337 3888.02 "Ti 1"
0.224 3888.0484 "Fe 1"
0.846 3888.416 "Fe 1"
0.205 3888.423 "Fe 1"
0.972 3888.5131 "Fe 1"
0.567 3888.7102 "Fe 1"
0.899 3888.8214 "Fe 1"
0.251 3888.911 "CH 1"
0.633 3889.048 "H 1"
0.679 3889.1014 "Ca 1"
0.625 3889.1016 "Fe 1"
0.228 3889.103 "CH 1"
0.34 3889.19 "CH 1"
0.204 3889.3223 "Fe 1"
0.29 3889.3257 "Fe 1"
0.346 3889.378 "CH 1"
0.815 3889.666 "Ni 1"
0.78 3889.6787 "Ni 1"
0.305 3889.8423 "Cr 1"
0.348 3889.849 "CH 1"
0.552 3889.9186 "Fe 1"
0.517 3889.9256 "Nd 2"
0.535 3889.9507 "Ti 1"
0.362 3889.9819 "Ce 2"
0.4 3890.178 "Mg 1"
0.68 3890.1792 "V 1"
0.424 3890.241 "Mg 1"
0.253 3890.32 "Zr 1"
0.661 3890.3858 "Fe 1"
0.817 3890.3935 "Fe 1"
0.351 3890.558 "CH 1"
0.504 3890.58 "Nd 2"
0.894 3890.8402 "Fe 1"
0.603 3890.94 "Nd 2"
0.495 3890.97 "Ho 2"
0.226 3891.0434 "Cr 1"
0.318 3891.0797 "Cr 1"
0.427 3891.191 "CH 1"
0.288 3891.38 "Zr 1"
0.704 3891.5008 "Fe 1"
0.258 3891.51 "Nd 2"
0.208 3891.7523 "Fe 1"
0.64 3891.776 "Ba 2"
0.557 3891.906 "Mg 1"
0.876 3891.9264 "Fe 1"
0.319 3892.056 "Nd 2"
0.788 3892.3078 "Fe 1"
0.423 3892.585 "CH 1"
0.669 3892.8564 "V 1"
0.816 3892.8918 "Fe 1"
0.208 3892.922 "CH 1"
0.793 3892.982 "Fe 1"
0.24 3893.0069 "Ni 1"
0.478 3893.064 "CH 1"
0.211 3893.125 "Cr 1"
0.224 3893.2876 "Co 1"
0.363 3893.304 "Mg 1"
0.869 3893.3092 "Fe 1"
0.919 3893.3898 "Fe 1"
0.544 3893.4462 "Fe 1"
0.429 3893.4581 "Ni 1"
0.878 3893.912 "Fe 1"
0.871 3894.0113 "Fe 1"
0.842 3894.034 "Cr 1"
0.335 3894.068 "Fe 1"
0.948 3894.0767 "Co 1"
0.739 3894.4781 "Fe 1"
0.394 3894.62 "Nd 2"
0.31 3894.693 "Gd 2"
0.893 3894.9775 "Co 1"
0.471 3895.078 "CH 1"
0.278 3895.1127 "Ce 2"
0.324 3895.166 "CH 1"
0.704 3895.24 "Ti 1"
0.326 3895.331 "CH 1"
0.802 3895.4253 "Fe 1"
0.514 3895.462 "CH 1"
0.637 3895.572 "Mg 1"
0.978 3895.6559 "Fe 1"
0.794 3896.066 "Fe 1"
0.288 3896.0918 "Fe 2"
0.666 3896.1379 "V 2"
0.608 3896.234 "Er 2"
0.66 3896.4803 "Fe 1"
0.553 3896.7667 "Ni 1"
0.227 3896.8019 "Ce 2"
0.257 3896.97 "Sm 2"
0.228 3897.3098 "Ti 1"
0.876 3897.4485 "Fe 1"
0.264 3897.48 "CH 1"
0.306 3897.632 "Nd 2"
0.928 3897.8892 "Fe 1"
0.761 3897.9762 "Fe 1"
0.258 3897.978 "V 1"
0.959 3898.0087 "Fe 1"
0.341 3898.059 "Mg 1"
0.503 3898.07 "CH 1"
0.366 3898.12 "Mg 1"
0.216 3898.2429 "Fe 1"
0.235 3898.263 "Ce 2"
0.214 3898.3408 "Mn 1"
0.538 3898.39 "CH 1"
0.558 3898.4886 "Ti 1"
0.513 3898.4889 "Co 1"
0.551 3898.53 "Dy 2"
0.881 3899.0284 "Fe 1"
0.737 3899.1276 "V 2"
0.659 3899.3804 "Fe 1"
0.551 3899.6605 "Ti 1"
0.978 3899.707 "Fe 1"
0.545 3900.2188 "Nd 2"
0.209 3900.4383 "Fe 1"
0.877 3900.515 "Fe 1"
0.948 3900.539 "Ti 2"
0.772 3900.9592 "Ti 1"
0.526 3901.592 "CH 1"
0.642 3901.6905 "Fe 1"
0.497 3901.8454 "Nd 2"
0.553 3901.863 "CH 1"
0.218 3901.967 "CH 1"
0.841 3902.2531 "V 1"
0.303 3902.254 "CH 1"
0.304 3902.423 "CH 1"
0.311 3902.617 "CH 1"
0.853 3902.909 "Cr 1"
0.973 3902.9451 "Fe 1"
0.67 3902.953 "Mo 1"
0.745 3903.161 "Cr 1"
0.782 3903.2525 "V 2"
0.211 3903.71 "Zr 2"
0.881 3903.859 "Mg 1"
0.905 3903.8977 "Fe 1"
0.82 3904.0786 "Fe 1"
0.88 3904.7826 "Ti 1"
0.575 3905.1832 "Fe 1"
0.971 3905.523 "Si 1"
0.257 3905.6442 "Cr 2"
0.539 3905.667 "CH 1"
0.48 3905.87 "Nd 2"
0.562 3905.902 "CH 1"
0.297 3906.0345 "Fe 2"
0.801 3906.2882 "Co 1"
0.74 3906.312 "Er 2"
0.975 3906.4791 "Fe 1"
0.625 3906.4886 "Fe 1"
0.629 3906.5297 "Fe 1"
0.421 3906.5504 "Cr 1"
0.868 3906.7469 "Fe 1"
0.677 3906.8054 "Fe 1"
0.82 3906.9617 "Fe 1"
0.498 3907.095 "Eu 2"
0.52 3907.117 "Eu 2"
0.249 3907.2876 "Ce 2"
0.841 3907.4651 "Fe 1"
0.821 3907.488 "Sc 1"
0.709 3907.6653 "Fe 1"
0.277 3907.767 "CH 1"
0.287 3907.84 "Nd 2"
0.902 3907.9337 "Fe 1"
0.345 3908.268 "CH 1"
0.246 3908.404 "Ce 2"
0.305 3908.428 "Pr 2"
0.209 3908.5143 "Co 1"
0.567 3908.6795 "Fe 1"
0.891 3908.756 "Cr 1"
0.723 3908.8418 "Fe 1"
0.627 3908.9225 "Ni 1"
0.223 3909.1527 "Fe 1"
0.462 3909.2102 "Fe 1"
0.846 3909.6576 "Fe 1"
0.881 3909.8292 "Fe 1"
0.559 3909.8572 "V 1"
0.347 3909.906 "V 1"
0.852 3909.9343 "Co 1"
0.546 3910.328 "CH 1"
0.591 3910.4569 "Fe 1"
0.398 3910.5155 "Fe 1"
0.565 3910.532 "CH 1"
0.279 3910.666 "CH 1"
0.277 3910.822 "CH 1"
0.871 3910.8437 "Fe 1"
0.283 3910.975 "Fe 1"
0.85 3910.998 "Fe 1"
0.32 3911.0948 "Mn 1"
0.256 3911.14 "Mn 1"
0.551 3911.17 "Nd 2"
0.329 3911.177 "Fe 1"
0.488 3911.18 "Ti 1"
0.207 3911.2974 "Ce 2"
0.662 3911.7013 "Fe 1"
0.838 3911.815 "Sc 1"
0.596 3911.9438 "Cr 1"
0.616 3911.9847 "Cr 1"
0.459 3912.217 "Nd 2"
0.368 3912.4198 "Ce 2"
0.29 3912.7695 "Cr 1"
0.945 3913.4612 "Ti 2"
0.904 3913.6313 "Fe 1"
0.319 3914.008 "CH 1"
0.573 3914.1832 "Ti 2"
0.825 3914.273 "Fe 1"
0.682 3914.318 "V 2"
0.828 3914.3348 "Ti 1"
0.635 3914.4174 "Fe 1"
0.372 3914.42 "CH 1"
0.284 3914.5004 "Ni 1"
0.736 3914.5068 "Fe 2"
0.534 3914.7344 "Ti 1"
0.62 3914.7616 "Fe 1"
0.661 3915.2131 "Fe 1"
0.735 3915.4716 "Fe 1"
0.498 3915.5015 "Co 1"
0.548 3915.609 "CH 1"
0.564 3915.79 "CH 1"
0.728 3915.839 "Cr 1"
0.586 3915.8449 "Fe 1"
0.73 3915.934 "Zr 2"
0.238 3915.94 "Nd 2"
0.489 3916.04 "La 2"
0.833 3916.238 "Cr 1"
0.759 3916.4045 "V 2"
0.28 3916.509 "Gd 2"
0.415 3916.5895 "Mn 1"
0.899 3916.7305 "Fe 1"
0.625 3917.1157 "Co 1"
0.955 3917.1805 "Fe 1"
0.642 3917.3599 "Fe 1"
0.243 3917.595 "Cr 1"
0.244 3917.646 "Nd 2"
0.32 3917.8263 "Ni 1"
0.253 3917.8765 "Fe 1"
0.349 3918.2441 "Ni 1"
0.328 3918.2696 "Ce 2"
0.236 3918.3049 "Mn 1"
0.264 3918.3123 "Mn 1"
0.906 3918.3146 "Fe 1"
0.902 3918.4151 "Fe 1"
0.803 3918.5708 "Fe 1"
0.906 3918.6415 "Fe 1"
0.304 3918.7782 "Fe 1"
0.883 3919.0651 "Fe 1"
0.43 3919.1003 "Fe 1"
0.461 3919.1478 "Cr 1"
0.911 3919.158 "Cr 1"
0.256 3919.5343 "Fe 1"
0.456 3919.7125 "Fe 1"
0.221 3919.8026 "Ce 2"
0.279 3919.8156 "Ti 1"
0.977 3920.2574 "Fe 1"
0.49 3920.3012 "Fe 1"
0.507 3920.4321 "Fe 1"
0.212 3920.5768 "Co 1"
0.25 3920.584 "CH 1"
0.525 3920.617 "Fe 1"
0.762 3920.629 "Fe 1"
0.248 3920.692 "CH 1"
0.348 3920.721 "CH 1"
0.521 3920.731 "Co 1"
0.837 3920.8363 "Fe 1"
0.545 3920.96 "Nd 2"
0.863 3921.02 "Cr 1"
0.817 3921.053 "Fe 1"
0.392 3921.073 "CH 1"
0.75 3921.1865 "Fe 1"
0.718 3921.2719 "Fe 1"
0.806 3921.4222 "Ti 1"
0.495 3921.54 "La 2"
0.545 3921.549 "CH 1"
0.559 3921.709 "CH 1"
0.5 3922.0708 "Fe 1"
0.498 3922.0868 "Fe 1"
0.294 3922.39 "Sm 2"
0.269 3922.4084 "Fe 1"
0.459 3922.4236 "Fe 1"
0.306 3922.4291 "V 1"
0.511 3922.6489 "Mn 1"
0.59 3922.6653 "Fe 1"
0.804 3922.6723 "Fe 1"
0.672 3922.7562 "Co 1"
0.977 3922.9112 "Fe 1"
0.735 3923.0218 "Fe 1"
0.254 3923.107 "Ce 2"
0.362 3923.4834 "Sc 2"
0.595 3924.0523 "Mn 1"
0.881 3924.5264 "Ti 1"
0.272 3924.6455 "Ce 2"
0.213 3924.6494 "V 1"
0.826 3925.2005 "Fe 1"
0.208 3925.2378 "V 1"
0.901 3925.6434 "Fe 1"
0.511 3925.6593 "Cr 1"
0.904 3925.9413 "Fe 1"
0.874 3926.0128 "Fe 1"
0.414 3926.318 "Ti 1"
0.626 3926.4523 "Mn 1"
0.469 3926.4666 "Fe 1"
0.349 3926.4802 "V 2"
0.276 3926.7091 "Cr 1"
0.683 3926.9029 "Fe 1"
0.311 3927.1 "Nd 2"
0.541 3927.7464 "Fe 1"
0.977 3927.9194 "Fe 1"
0.836 3927.9219 "Fe 1"
0.237 3927.9247 "V 1"
0.368 3927.927 "CH 1"
0.719 3927.9486 "Ni 1"
0.641 3928.0106 "Fe 1"
0.876 3928.0829 "Fe 1"
0.537 3928.193 "CH 1"
0.405 3928.236 "CH 1"
0.244 3928.2446 "Cr 1"
0.246 3928.28 "Sm 2"
0.548 3928.334 "CH 1"
0.87 3928.637 "Cr 1"
0.838 3929.1164 "Fe 1"
0.356 3929.1256 "Fe 1"
0.836 3929.2081 "Fe 1"
0.587 3929.22 "La 2"
0.347 3929.6235 "Ni 1"
0.455 3929.6756 "Cr 1"
0.575 3929.7201 "V 2"
0.871 3929.8737 "Ti 1"
0.356 3930.0181 "V 1"
0.237 3930.0272 "Fe 1"
0.977 3930.2963 "Fe 1"
0.249 3930.3053 "Fe 1"
0.743 3930.3058 "Fe 2"
0.554 3930.488 "Eu 2"
0.663 3930.4895 "Fe 1"
0.575 3930.509 "Eu 2"
0.469 3930.6583 "Y 2"
0.74 3930.8746 "Fe 1"
0.314 3931.083 "Ce 2"
0.853 3931.1172 "Fe 1"
0.79 3931.263 "Fe 1"
0.224 3931.366 "Ce 2"
0.31 3931.53 "Dy 2"
0.862 3932.0088 "Ti 2"
0.259 3932.1784 "Fe 1"
0.223 3932.41 "CH 1"
0.355 3932.5833 "Fe 1"
0.9 3932.627 "Fe 1"
0.411 3933.369 "Sc 1"
0.276 3933.4995 "Ti 1"
0.87 3933.599 "Fe 1"
0.709 3933.6014 "Fe 1"
0.976 3933.655 "Ca 2"
0.951 3933.657 "Ca 2"
0.978 3933.659 "Ca 2"
0.976 3933.66 "Ca 2"
0.977 3933.661 "Ca 2"
0.978 3933.664 "Ca 2"
0.592 3933.7303 "Ce 2"
0.666 3933.7631 "Fe 1"
0.577 3933.9156 "Co 1"
0.344 3934.0065 "V 1"
0.312 3934.0955 "Ni 1"
0.725 3934.114 "Zr 2"
0.563 3934.2333 "Ti 1"
0.626 3934.785 "Zr 2"
0.327 3934.81 "Nd 2"
0.298 3934.9981 "Ni 1"
0.829 3935.3064 "Fe 1"
0.274 3935.4864 "Fe 1"
0.525 3935.6 "CH 1"
0.381 3935.65 "CH 1"
0.534 3935.73 "CH 1"
0.909 3935.8124 "Fe 1"
0.701 3935.8589 "Fe 1"
0.413 3935.927 "CH 1"
0.289 3935.9607 "Fe 2"
0.905 3935.9684 "Co 1"
0.226 3936.051 "Zr 2"
0.277 3936.119 "Nd 2"
