strengths wavelengths species
0.219 3025.0573 "Ti 1"
0.232 3025.164 "Zr 2"
0.518 3025.2493 "Fe 1"
0.359 3025.2579 "Cr 1"
0.296 3025.2781 "Fe 1"
0.978 3025.2795 "Fe 1"
0.981 3025.403 "Cr 1"
0.988 3025.6362 "Fe 1"
0.477 3025.707 "Zr 2"
0.995 3025.8422 "Fe 1"
0.281 3025.8815 "Cr 1"
0.28 3025.954 "Er 2"
0.279 3025.989 "Fe 2"
0.218 3026.16 "Dy 2"
0.21 3026.2216 "OH 1"
0.425 3026.2343 "Fe 1"
0.911 3026.3719 "Co 1"
0.993 3026.4618 "Fe 1"
0.233 3026.478 "Nd 2"
0.917 3026.6392 "Cr 2"
0.793 3026.8279 "Cr 2"
0.799 3026.9357 "Fe 1"
0.882 3027.0122 "Fe 1"
0.806 3027.5889 "Fe 1"
0.734 3027.601 "Gd 2"
0.502 3027.6035 "V 2"
0.86 3027.7007 "Fe 1"
0.916 3027.8571 "Fe 1"
0.449 3027.91 "Pd 1"
0.716 3028.0046 "Fe 1"
0.901 3028.045 "Zr 2"
0.725 3028.0528 "V 2"
0.875 3028.1235 "Cr 2"
0.206 3028.1846 "Co 1"
0.2 3028.2924 "OH 1"
0.588 3028.441 "Nb 2"
0.805 3028.4682 "Fe 1"
0.267 3028.7436 "Fe 1"
0.426 3028.7488 "Fe 1"
0.386 3028.8293 "Fe 1"
0.916 3028.8712 "Fe 1"
0.387 3028.944 "Ca 1"
0.446 3029.0456 "Mn 2"
0.508 3029.0769 "Fe 1"
0.316 3029.0961 "Fe 1"
0.955 3029.161 "Cr 1"
0.971 3029.2338 "Fe 1"
0.909 3029.3027 "Ni 1"
0.265 3029.4385 "Mn 2"
0.426 3029.52 "Zr 1"
0.825 3029.5698 "V 2"
0.387 3029.6921 "Fe 2"
0.967 3029.7278 "Ti 2"
0.233 3029.7513 "Fe 1"
0.968 3029.76 "Ti 2"
0.915 3030.0242 "Fe 1"
0.987 3030.1479 "Fe 1"
0.98 3030.244 "Cr 1"
0.275 3030.306 "Ce 2"
0.912 3030.6035 "Fe 1"
0.266 3030.691 "Os 1"
0.708 3030.7621 "Fe 1"
0.902 3030.919 "Zr 2"
0.545 3030.9637 "Fe 1"
0.204 3030.9981 "V 1"
0.886 3031.0505 "Mn 2"
0.767 3031.1121 "Yb 2"
0.381 3031.16 "Hf 2"
0.986 3031.213 "Fe 1"
0.37 3031.2657 "Fe 1"
0.645 3031.2898 "Co 1"
0.935 3031.3244 "Fe 1"
0.247 3031.3509 "OH 1"
0.953 3031.352 "Cr 1"
0.616 3031.3694 "Cr 2"
0.908 3031.4759 "Fe 1"
0.645 3031.4821 "Cr 1"
0.992 3031.6365 "Fe 1"
0.821 3031.6852 "Fe 1"
0.532 3031.7183 "Fe 1"
0.991 3031.8672 "Ni 1"
0.322 3032.1878 "V 2"
0.719 3032.2279 "Fe 1"
0.796 3032.2419 "Fe 1"
0.245 3032.2541 "Cr 1"
0.219 3032.4066 "Fe 1"
0.696 3032.4554 "Ni 2"
0.537 3032.4702 "Fe 1"
0.225 3032.762 "Nb 2"
0.515 3032.7876 "Fe 1"
0.814 3032.844 "Gd 2"
0.437 3032.846 "As 1"
0.934 3032.917 "Cr 2"
0.641 3033.02 "Fe 1"
0.953 3033.098 "Fe 1"
0.915 3033.4354 "V 2"
0.371 3033.4427 "Fe 2"
0.231 3033.587 "Fe 1"
0.629 3033.5882 "Mn 2"
0.943 3033.8193 "V 2"
0.232 3033.9358 "OH 1"
0.513 3034.0412 "Cr 2"
0.762 3034.051 "Gd 2"
0.73 3034.115 "Sn 1"
0.966 3034.188 "Cr 1"
0.584 3034.1939 "Fe 1"
0.942 3034.4321 "Co 1"
0.961 3034.4839 "Fe 1"
0.952 3034.5351 "Fe 1"
0.87 3034.5388 "Ca 1"
0.832 3034.5395 "Cr 2"
0.901 3034.5941 "Fe 1"
0.211 3034.6625 "Co 2"
0.584 3034.6724 "Ca 1"
0.245 3034.736 "Fe 2"
0.623 3034.8066 "Mn 2"
0.755 3034.9826 "Cr 2"
0.238 3035.2382 "Fe 1"
0.863 3035.3595 "Mn 2"
0.301 3035.5465 "Cr 1"
0.959 3035.7365 "Fe 1"
0.635 3035.7466 "Fe 1"
0.55 3035.777 "Zn 1"
0.677 3036.099 "Cu 1"
0.285 3036.221 "Er 2"
0.415 3036.3364 "Fe 1"
0.878 3036.391 "Zr 2"
0.77 3036.503 "Zr 2"
0.827 3036.59 "Fe 1"
0.797 3036.7757 "Ti 2"
0.695 3036.9633 "Fe 2"
0.973 3037.045 "Cr 1"
0.915 3037.2075 "Fe 1"
0.247 3037.3512 "Fe 1"
0.995 3037.3885 "Fe 1"
0.737 3037.519 "Fe 1"
0.872 3037.5497 "Fe 1"
0.296 3037.6302 "Fe 2"
0.486 3037.6813 "Fe 1"
0.319 3037.7309 "Ce 2"
0.977 3037.7794 "Fe 1"
0.994 3037.9325 "Ni 1"
0.317 3038.0356 "Cr 2"
0.839 3038.0947 "Mn 2"
0.439 3038.285 "Dy 2"
0.731 3038.3053 "Co 1"
0.93 3038.3136 "Fe 1"
0.808 3038.5093 "Mn 2"
0.513 3038.5204 "V 2"
0.416 3038.5566 "Ti 2"
0.376 3038.7114 "Fe 1"
0.901 3038.7266 "Ti 2"
0.796 3038.7795 "Fe 2"
0.719 3038.9788 "Fe 1"
0.307 3039.0188 "Fe 1"
0.967 3039.067 "Ge 1"
0.288 3039.1876 "Ca 1"
0.957 3039.3171 "Fe 1"
0.316 3039.357 "In 1"
0.411 3039.557 "Mn 2"
0.532 3039.5644 "Co 1"
0.938 3039.5987 "Fe 1"
0.382 3039.6644 "Fe 1"
