Species, Wavelength, Priority
"Si I", 7531.76, 1
"Si I", 7557.69, 1
"Si I", 7558.14, 1
"Si I", 7569.55, 1
"Si I", 7578.79, 1
"Si I", 7669.71, 1
"Si I", 7680.27, 1
"Si I", 7688.39, 1
"Si I", 7689.02, 1
"Si I", 7695.62, 1
"Si I", 7742.72, 1
"Si I", 7760.63, 1
"Si I", 7798.84, 1
"Si I", 7799.18, 1
"Si I", 7800.01, 1
"Si I", 7833.02, 1
"Si I", 7842.98, 1
"Si I", 7849.97, 1
"Si I", 7912.38, 1
"Si I", 7913.43, 1
"Si I", 7918.39, 1
"Si I", 7925.85, 1
"Si I", 7932.35, 1
"Si I", 7944.0, 1
"Si I", 7970.31, 1
"Si I", 7975.58, 1
"Si I", 8006.46, 1
"Si I", 8009.38, 1
"Si I", 8026.95, 1
"Si I", 8035.62, 1
"Si I", 8046.8, 1
"Si I", 8049.37, 1
"Si I", 8049.6, 1
"Si I", 8069.72, 1
"Si I", 8071.28, 1
"Si I", 8073.03, 1
"Si I", 8093.24, 1
"Si I", 8154.87, 1
"Si I", 8171.29, 1
"Si I", 8215.15, 1
"Si I", 8230.64, 1
"Si I", 8259.92, 1
"Si I", 8294.68, 1
"Si I", 8306.71, 1
"Si I", 8317.39, 1
"Si I", 8338.33, 1
"Si I", 8443.98, 1
"Si I", 8461.49, 1
"Si I", 8492.08, 1
"Si I", 8501.55, 1
"Si I", 8502.22, 1
"Si I", 8510.24, 1
"Si I", 8536.16, 1
"Si I", 8547.84, 1
"Si I", 8550.35, 1
"Si I", 8556.78, 1
"Si I", 8570.76, 1
"Si I", 8571.31, 1
"Si I", 8579.1, 1
"Si I", 8595.96, 1
"Si I", 8597.04, 1
"Si I", 8606.01, 1
"Si I", 8646.36, 1
"Si I", 8648.47, 1
"Si I", 8667.38, 1
"Si I", 8680.08, 1
"Si I", 8686.35, 1
"Si I", 8687.46, 1
"Si I", 8728.01, 1
"Si I", 8728.6, 1
"Si I", 8742.45, 1
"Si I", 8751.17, 1
"Si I", 8752.01, 1
"Si I", 8766.42, 1
"Si I", 8780.74, 1
"Si I", 8790.39, 1
"Si I", 8792.95, 1
"Si I", 8883.69, 1
"Si I", 8892.73, 1
"Si I", 8899.23, 1
"Si I", 8925.29, 1
"Si I", 8949.09, 1
"Si I", 8967.72, 1
"Si I", 8968.14, 1
"Si I", 9008.51, 1
"Si I", 9021.58, 1
"Si I", 9043.82, 1
"Si I", 9051.45, 1
"Si I", 9058.41, 1
"Si I", 9103.18, 1
"Si I", 9252.26, 1
"Si I", 9253.67, 1
"V II", 3727.348, 1
"V II", 3728.331, 1
"V II", 3732.758, 1
"V II", 3750.877, 1
"V II", 3751.219, 1
"V II", 3760.236, 1
"V II", 3770.972, 1
"V II", 3772.959, 1
"V II", 3787.231, 1
"V II", 3884.844, 1
"V II", 3899.136, 1
"V II", 3903.265, 1
"V II", 3916.414, 1
"V II", 3951.963, 1
"V II", 3997.122, 1
"V II", 4002.936, 1
"V II", 4005.708, 1
"V II", 4008.165, 1
"V II", 4023.384, 1
"V II", 4036.775, 1
"V II", 4039.57, 1
"V II", 4051.056, 1
"V II", 4183.431, 1
"V II", 4190.886, 1
"V II", 4225.224, 1
"V II", 4322.016, 1
"V II", 4558.458, 1
"V II", 4564.589, 1
"V II", 4883.412, 1
"V II", 4884.056, 1
"V II", 5199.677, 1
"V II", 5303.257, 1
"V II", 5350.367, 1
"V II", 5819.925, 1
"V II", 5897.535, 1
"V II", 5928.855, 1
"V II", 6028.26, 1
"V II", 6028.99, 1
"V II", 6031.06, 1
"Fe II", 3755.563, 1
"Fe II", 3759.46, 1
"Fe II", 3783.346, 1
"Fe II", 3824.913, 1
"Fe II", 3938.289, 1
"Fe II", 3974.159, 1
"Fe II", 4002.072, 1
"Fe II", 4069.884, 1
"Fe II", 4087.271, 1
"Fe II", 4122.638, 1
"Fe II", 4124.793, 1
"Fe II", 4128.735, 1
"Fe II", 4173.446, 1
"Fe II", 4178.854, 1
"Fe II", 4233.168, 1
"Fe II", 4258.155, 1
"Fe II", 4273.317, 1
"Fe II", 4278.128, 1
"Fe II", 4296.585, 1
"Fe II", 4314.29, 1
"Fe II", 4342.366, 1
"Fe II", 4351.76, 1
"Fe II", 4357.574, 1
"Fe II", 4368.262, 1
"Fe II", 4369.404, 1
"Fe II", 4384.329, 1
"Fe II", 4385.381, 1
"Fe II", 4413.596, 1
"Fe II", 4416.817, 1
"Fe II", 4446.248, 1
"Fe II", 4472.921, 1
"Fe II", 4489.185, 1
"Fe II", 4491.4, 1
"Fe II", 4508.284, 1
"Fe II", 4515.337, 1
"Fe II", 4520.225, 1
"Fe II", 4522.634, 1
"Fe II", 4534.166, 1
"Fe II", 4541.52, 1
"Fe II", 4555.89, 1
"Fe II", 4576.332, 1
"Fe II", 4582.835, 1
"Fe II", 4583.829, 1
"Fe II", 4620.512, 1
"Fe II", 4629.333, 1
"Fe II", 4648.934, 1
"Fe II", 4656.974, 1
"Fe II", 4663.701, 1
"Fe II", 4666.75, 1
"Fe II", 4670.163, 1
"Fe II", 4720.15, 1
"Fe II", 4731.438, 1
"Fe II", 4810.734, 1
"Fe II", 4825.736, 1
"Fe II", 4833.192, 1
"Fe II", 4839.997, 1
"Fe II", 4893.827, 1
"Fe II", 4923.93, 1
"Fe II", 4937.113, 1
"Fe II", 4993.348, 1
"Fe II", 5000.741, 1
"Fe II", 5001.915, 1
"Fe II", 5004.198, 1
"Fe II", 5018.449, 1
"Fe II", 5030.642, 1
"Fe II", 5132.657, 1
"Fe II", 5136.795, 1
"Fe II", 5144.36, 1
"Fe II", 5154.428, 1
"Fe II", 5160.847, 1
"Fe II", 5168.998, 1
"Fe II", 5197.558, 1
"Fe II", 5234.62, 1
"Fe II", 5256.932, 1
"Fe II", 5264.805, 1
"Fe II", 5276.0, 1
"Fe II", 5284.099, 1
"Fe II", 5316.623, 1
"Fe II", 5316.781, 1
"Fe II", 5325.559, 1
"Fe II", 5337.727, 1
"Fe II", 5346.564, 1
"Fe II", 5362.867, 1
"Fe II", 5370.296, 1
"Fe II", 5402.061, 1
"Fe II", 5411.362, 1
"Fe II", 5414.046, 1
"Fe II", 5425.246, 1
"Fe II", 5427.815, 1
"Fe II", 5503.215, 1
"Fe II", 5525.123, 1
"Fe II", 5532.084, 1
"Fe II", 5534.835, 1
"Fe II", 5732.716, 1
"Fe II", 5813.677, 1
"Fe II", 5823.155, 1
"Fe II", 5885.016, 1
"Fe II", 5952.525, 1
"Fe II", 5991.367, 1
"Fe II", 6045.46, 1
"Fe II", 6084.1, 1
"Fe II", 6113.33, 1
"Fe II", 6147.77, 1
"Fe II", 6149.24, 1
"Fe II", 6233.53, 1
"Fe II", 6238.39, 1
"Fe II", 6247.37, 1
"Fe II", 6247.55, 1
"Fe II", 6248.89, 1
"Fe II", 6331.95, 1
"Fe II", 6367.41, 1
"Fe II", 6369.46, 1
"Fe II", 6375.79, 1
"Fe II", 6383.72, 1
"Fe II", 6385.46, 1
"Fe II", 6416.92, 1
"Fe II", 6432.68, 1
"Fe II", 6442.95, 1
"Fe II", 6446.4, 1
"Fe II", 6456.39, 1
"Fe II", 6482.21, 1
"Fe II", 6493.03, 1
"Fe II", 6516.08, 1
"Fe II", 6586.7, 1
"Fe II", 6627.24, 1
"Fe II", 7067.44, 1
"Fe II", 7071.87, 1
"Fe II", 7222.39, 1
"Fe II", 7224.47, 1
"Fe II", 7301.56, 1
"Fe II", 7310.19, 1
"Fe II", 7343.22, 1
"Fe II", 7427.55, 1
"Fe II", 7449.34, 1
"Fe II", 7479.69, 1
"Fe II", 7515.83, 1
"Fe II", 7533.36, 1
"Fe II", 7711.72, 1
"Fe II", 7841.37, 1
"Fe II", 8809.83, 1
"Fe II", 9251.79, 1
"Ti II", 3741.645, 1
"Ti II", 3757.696, 1
"Ti II", 3759.3, 1
"Ti II", 3761.325, 1
"Ti II", 3761.882, 1
"Ti II", 3770.396, 1
"Ti II", 3774.651, 1
"Ti II", 3776.059, 1
"Ti II", 3786.322, 1
"Ti II", 3796.885, 1
"Ti II", 3799.786, 1
"Ti II", 3813.394, 1
"Ti II", 3814.581, 1
"Ti II", 3836.084, 1
"Ti II", 3900.559, 1
"Ti II", 3913.477, 1
"Ti II", 3932.021, 1
"Ti II", 3981.985, 1
"Ti II", 3987.615, 1
"Ti II", 4012.396, 1
"Ti II", 4025.12, 1
"Ti II", 4028.354, 1
"Ti II", 4053.829, 1
"Ti II", 4056.188, 1
"Ti II", 4161.527, 1
"Ti II", 4163.634, 1
"Ti II", 4171.919, 1
"Ti II", 4173.532, 1
"Ti II", 4174.053, 1
"Ti II", 4184.31, 1
"Ti II", 4188.984, 1
"Ti II", 4190.232, 1
"Ti II", 4196.658, 1
"Ti II", 4252.085, 1
"Ti II", 4287.874, 1
"Ti II", 4290.217, 1
"Ti II", 4294.094, 1
"Ti II", 4300.063, 1
"Ti II", 4301.923, 1
"Ti II", 4312.873, 1
"Ti II", 4314.966, 1
"Ti II", 4316.803, 1
"Ti II", 4320.958, 1
"Ti II", 4330.234, 1
"Ti II", 4330.723, 1
"Ti II", 4337.254, 1
"Ti II", 4337.876, 1
"Ti II", 4341.366, 1
"Ti II", 4344.3, 1
"Ti II", 4350.845, 1
"Ti II", 4367.653, 1
"Ti II", 4374.836, 1
"Ti II", 4386.846, 1
"Ti II", 4391.044, 1
"Ti II", 4394.018, 1
