wavelength, species, priority
2824.158, Fe II, 11.4
2826.1101, Ne III, 2.29
2826.6489, Ne III, 1.09
2826.748, S III, 3.37
2836.574, Fe IV, 1.46
2837.5471, C II, 3180.0
2838.4441, C II, 1570.0
2841.178, Fe II, 3.24
2844.314, Fe II, 1.18
2848.8879, Fe II, 5.85
2850.4431, Fe II, 11.6
2856.5049, Fe II, 7.4
2856.988, Fe II, 2.34
2858.0139, Fe II, 1.77
2858.26, Fe II, 1.92
2859.1731, Fe II, 1.88
2881.8569, S III, 2.02
2886.0081, Cr XIX, 267.0
2888.2051, Si II, 4.95
2888.3621, Si II, 8.79
2896.0681, Fe II, 2.38
2904.697, Fe XII, 22.2
2910.3579, S III, 33.2
2916.938, Ne III *, 13.0
2928.9441, Mg V, 2.03
2929.489, Mg II, 76.5
2934.531, Fe X, 4.09
2935.397, S III, 2.04
2937.3689, Mg II, 152.0
2941.4414, Fe XI, 1.41
2945.2571, Fe II, 20.8
2945.9651, He I, 88.2
2945.97, He I, 264.0
2945.9709, He I, 442.0
2948.5161, Fe II, 22.8
2949.197, S III, 1.58
2951.0859, S III, 5.18
2953.7529, S III, 2.12
2960.5591, O III, 7.85
2961.3311, Fe V, 1.64
2965.489, Fe II, 4.04
2965.6479, S III, 5.84
2965.8989, Fe II, 6.6
2974.072, Ne V, 2.58
2984.4839, O III, 3.12
2984.6509, O III, 251.0
2985.6951, Fe II, 53.1
2986.416, Fe II, 20.1
3001.9268, Ni XI, 3.71
3002.4946, Fe IX, 3.52
3003.521, Fe II, 22.2
3005.22, O III, 1.25
3018.4951, O III, 2.18
3020.9661, Fe X, 15.3
3024.3059, O III, 200.0
3025.4209, O III, 160.0
3030.1931, S IV, 1.02
3036.2981, O III, 120.0
3042.9529, O III, 161.0
3047.9851, O III, 604.0
3060.166, O III, 205.0
3064.3181, O IV, 106.0
3072.0649, Fe XII, 16.8
3072.4919, O IV, 52.6
3087.1311, Si III, 584.0
3087.3311, Si III, 104.0
3087.5601, Si III, 6.95
3094.324, Si III, 277.0
3094.554, Si III, 92.2
3097.7271, Si III, 136.0
3098.1721, S IV, 26.8
3118.519, S IV, 31.9
3122.5391, O III, 2.45
3124.0686, Fe IX, 18.8
3133.7, O III, 4.18
3136.2681, Fe II, 1.79
3167.5701, Ni XII, 2.35
3178.4509, Fe II, 3.58
3187.6589, Fe II, 4.09
3188.6609, He I, 266.0
3188.6721, He I, 797.0
3188.6731, He I, 1330.0
3193.832, Fe II, 3.51
3194.7219, Fe II, 3.13
3203.8789, He II, 55.0
3203.8921, He II, 33.1
3203.915, He II, 45.5
3203.9309, He II, 16.6
3204.043, He II, 99.0
3204.0559, He II, 11.0
3204.0911, He II, 90.9
3204.094, He II, 1.51
3204.1169, He II, 2.72
3204.7981, Si II, 13.9
3210.9529, Si II, 24.3
3210.969, Si II, 2.71
3211.3711, Fe II, 3.1
3214.2371, Fe II, 7.99
3228.6741, Fe II, 16.2
3238.7539, Fe II, 1.07
3240.9661, Mn XIX, 4.83
3248.1111, Fe II, 1.69
3248.509, S III, 4.33
3259.71, Fe II, 2.55
3259.991, Fe II, 3.6
3261.7981, O III, 156.0
3266.269, O III, 256.0
3268.147, O III, 60.3
3268.4072, Fe VIII *, 2.1
3282.7791, O III, 10.6
3285.394, O III, 17.3
3300.3369, O III, 2.89
3306.1311, S III, 5.55
3313.2849, O III, 8.29
3324.949, S III, 17.0
3325.823, S III, 56.1
3328.4578, Ca XII, 56.1
3334.0979, Si II, 3.83
3336.396, Si II, 1.01
3338.73, Ne III *, 1.81
3339.4619, Ni XI, 2.34
3340.7791, Si II, 7.61
3341.342, S IV, 6.93
3341.7261, O III, 12.6
3342.426, S IV, 3.77
3343.386, Ne III, 4.08
3368.1311, S III, 12.5
3370.4351, S III, 10.8
3371.334, S III, 14.5
3371.7781, Ti XVII, 51.0
3388.0779, S III, 12.6
3388.9177, Fe XIII, 229.0
3404.52, O IV, 1.67
3412.667, O IV, 2.96
3425.6189, Ne III *, 3.35
3427.011, Ne V, 1.95
3449.4719, K XV, 16.3
3454.947, Fe X, 9.53
