Wavelength, Species, Priority
3046.8046, Fe1, 0.947
3046.8722, Cr1, 0.348
3046.9239, Fe1, 0.946
3046.9595, Fe1, 0.752
3047.0309, Mn1, 0.893
3047.0499, Fe1, 0.894
3047.2048, Fe1, 0.873
3047.2175, Mn2, 0.24
3047.4455, Cr1, 0.769
3047.4514, Fe1, 0.718
3047.6006, Fe2, 0.785
3047.6043, Fe1, 0.994
3047.6058, Cr2, 0.949
3047.7535, Cr2, 0.915
3047.8204, Ni1, 0.412
3048.1102, Co1, 0.551
3048.221, V2, 0.858
3048.3483, Ti2, 0.482
3048.3497, Fe1, 0.785
3048.398, Zr2, 0.456
3048.6533, V2, 0.745
3048.7614, Ti2, 0.926
3048.8603, Mn1, 0.649
3048.889, Co1, 0.972
3048.8959, V2, 0.866
3048.9912, Fe2, 0.688
3049.0022, Ca1, 0.41
3049.0233, Mn2, 0.665
3049.1399, Fe1, 0.274
3049.3516, Fe1, 0.938
3049.3805, Cr2, 0.362
3049.5365, Fe1, 0.885
3049.574, Fe2, 0.34
3049.5876, Fe1, 0.693
3049.8794, Cr1, 0.936
3050.072, Al1, 0.754
3050.1304, Cr2, 0.927
3050.3451, Fe1, 0.797
3050.391, V1, 0.326
3050.4965, Co1, 0.855
3050.6544, Mn2, 0.812
3050.7373, Cr2, 0.563
3050.743, Fe1, 0.402
3050.7466, V2, 0.688
3050.8156, Ni1, 0.994
3050.8788, V1, 0.775
3050.9347, Ni1, 0.37
3051.3843, OH1, 0.204
3051.4301, Mn2, 0.76
3051.4302, Fe1, 0.847
3052.209, V1, 0.325
3052.222, Cr1, 0.373
3052.2636, Fe1, 0.296
3052.4951, Fe1, 0.96
3052.5761, Fe1, 0.821
3052.7779, Fe1, 0.822
3052.919, Sc2, 0.533
3052.9423, Fe1, 0.721
3053.0655, Fe1, 0.973
3053.2493, Ti2, 0.437
3053.3911, V2, 0.938
3053.4273, Fe1, 0.956
3053.4535, Fe1, 0.962
3053.5591, Fe1, 0.91
3053.572, Gd2, 0.202
3053.6485, Cr2, 0.644
3053.6542, V1, 0.931
3053.7234, Fe1, 0.812
3053.757, Fe1, 0.824
3053.8096, Fe1, 0.457
3053.8594, Fe1, 0.232
3053.878, Cr1, 0.976
3053.8948, V2, 0.894
3053.966, Fe1, 0.651
3053.9828, Fe1, 0.571
3054.132, Co1, 0.434
3054.2419, V2, 0.392
3054.3125, Ni1, 0.994
3054.3574, Mn1, 0.939
3054.439, Zr2, 0.509
3054.4667, Fe1, 0.498
3054.6055, Ti2, 0.343
3054.679, Al1, 0.745
3054.7221, Co1, 0.85
3054.837, Zr2, 0.91
3054.9454, Fe1, 0.72
3055.0567, Cr1, 0.265
3055.2623, Fe1, 0.987
3055.2935, Fe1, 0.943
3055.3211, Ca1, 0.832
3055.3322, Cr2, 0.385
3055.3509, Fe2, 0.636
3055.3574, Fe1, 0.485
3055.4452, Cr2, 0.767
3055.5996, Ca1, 0.459
3055.682, Fe1, 0.92
3055.7085, Fe1, 0.932
3056.1019, Fe1, 0.646
3056.1103, Fe1, 0.865
3056.2028, Cr2, 0.307
3056.2413, Fe1, 0.934
3056.3328, V1, 0.94
3056.5768, Fe1, 0.886
3056.5775, Cr2, 0.306
3056.6308, Cr2, 0.393
3056.67, Co1, 0.342
3056.7378, Ti2, 0.968
3056.7735, Ce2, 0.225
3056.8014, Fe2, 0.874
3056.9969, Fe1, 0.786
3057.144, Al1, 0.839
3057.221, Zr2, 0.528
3057.2491, Ti2, 0.599
3057.3925, Ti2, 0.978
3057.4454, Fe1, 0.994
3057.6388, Ni1, 0.994
3057.7875, Fe1, 0.964
3057.8528, Cr2, 0.639
3057.8722, Ti2, 0.677
3057.9099, Fe1, 0.43
3057.9552, Fe1, 0.916
3058.0364, Fe1, 0.932
3058.0519, Fe1, 0.763
3058.0875, Ti2, 0.976
3058.1268, Fe1, 0.237
3058.1792, Cr1, 0.336
3058.3393, Cr2, 0.742
3058.3631, Fe1, 0.926
3058.4921, Fe1, 0.952
3058.6494, Fe1, 0.356
3058.652, Os1, 0.835
3058.7031, Fe1, 0.776
3058.9159, Ti2, 0.423
3058.9204, Fe1, 0.843
3058.9707, Fe1, 0.39
3058.9787, Fe1, 0.568
3059.03, Al1, 0.48
3059.0571, Mn2, 0.751
3059.0853, Fe1, 0.994
3059.1439, Mn1, 0.392
3059.367, Cr2, 0.86
3059.4286, Ti2, 0.402
3059.4905, Cr2, 0.886
3059.5158, Cr2, 0.921
3059.5279, Fe1, 0.583
3059.7353, Ti2, 0.981
3059.7374, Ti2, 0.938
3059.8167, Ti2, 0.53
3059.924, Al1, 0.369
3059.9972, Fe1, 0.852
3060.0054, Fe2, 0.225
3060.0499, Co1, 0.909
3060.115, Zr2, 0.728
3060.3434, Fe1, 0.899
3060.425, Zr2, 0.823
3060.4522, V1, 0.947
3060.4815, Er2, 0.535
3060.5375, Fe1, 0.943
3060.6041, Cr1, 0.291
3060.6209, Fe1, 0.919
3060.6594, Ti2, 0.3
3060.7768, Fe1, 0.937
3060.9832, Fe1, 0.973
3061.0164, Co1, 0.521
3061.1076, Fe1, 0.34
3061.1582, Fe1, 0.268
3061.334, Zr2, 0.776
3061.5365, Fe1, 0.413
3061.5707, Cr2, 0.747
3061.5946, Fe1, 0.87
3061.647, Cr1, 0.799
3061.8198, Co1, 0.986
3061.8285, Cr1, 0.684
3061.8285, Cr2, 0.233
3061.9089, Fe1, 0.574
3061.9598, Fe1, 0.765
3061.9786, Co1, 0.577
3062.114, Mn1, 0.88
3062.1652, V2, 0.222
3062.1976, Co1, 0.916
3062.2358, Fe2, 0.933
3062.318, Ti2, 0.232
3062.615, Dy2, 0.308
3062.7028, V2, 0.72
3062.8024, Fe1, 0.282
3062.8232, Fe1, 0.705
3062.8667, Fe1, 0.889
3062.8904, Fe1, 0.885
3063.0035, Ce2, 0.422
3063.0776, Fe1, 0.747
3063.1492, Fe1, 0.903
3063.2155, Ti2, 0.727
3063.2444, Co1, 0.277
3063.246, Cr2, 0.479
3063.2516, Fe1, 0.381
3063.2556, V2, 0.871
3063.3335, Fe1, 0.228
3063.4022, Fe1, 0.37
3063.4088, Cu1, 0.373
3063.4915, Ti2, 0.934
3063.5644, OH1, 0.813
3063.5898, Ni2, 0.219
3063.7231, Ti2, 0.293
3063.7236, OH1, 0.808
3063.7243, V1, 0.342
3063.7304, OH1, 0.813
3063.7813, OH1, 0.264
3063.831, Cr2, 0.761
3063.9208, OH1, 0.298
3063.9295, Fe1, 0.954
3063.9325, Ni2, 0.725
3063.9671, OH1, 0.232
3064.0276, Mn1, 0.403
3064.0711, Ti2, 0.349
3064.1913, OH1, 0.8
3064.2362, OH1, 0.811
3064.29, Al1, 0.741
3064.3688, OH1, 0.332
3064.3692, Co1, 0.944
3064.4992, Fe1, 0.75
3064.5165, Fe1, 0.626
3064.5183, Cr1, 0.2
3064.6186, Ni1, 0.993
3064.642, Zr2, 0.537
3064.6967, Fe1, 0.799
3064.7114, Pt1, 0.936
3064.95, OH1, 0.784
3065.0273, Fe1, 0.329
3065.0554, Ti2, 0.396
3065.0607, Cr1, 0.597
3065.0943, OH1, 0.807
3065.1069, OH1, 0.37
3065.111, Sc2, 0.57
3065.207, Zr2, 0.461
3065.301, Pd1, 0.343
3065.3154, Fe2, 0.883
3065.5076, Ti2, 0.385
3065.6069, V2, 0.706
3065.9265, Mn2, 0.258
3065.947, Fe1, 0.789
3065.9759, OH1, 0.757
3066.014, Mn1, 0.918
3066.1132, OH1, 0.403
3066.144, Al1, 0.748
3066.2183, Ti2, 0.992
3066.3179, OH1, 0.799
3066.3463, Ti2, 0.991
3066.3699, V1, 0.955
3066.3745, Ca1, 0.223
3066.4318, Ni1, 0.875
3066.4786, Fe1, 0.96
3066.5042, Ti2, 0.965
3066.5231, V1, 0.854
3066.5783, Fe1, 0.927
3066.6834, Fe1, 0.743
3066.8095, Fe1, 0.542
3066.8135, V2, 0.214
3066.897, Fe1, 0.429
3066.9568, Ca1, 0.343
3066.997, Fe1, 0.956
3067.021, Ge1, 0.923
3067.0869, Ca1, 0.381
3067.0984, Fe1, 0.402
3067.1042, V2, 0.933
3067.1183, Fe1, 0.983
3067.1409, Cr2, 0.906
3067.1664, Cr2, 0.858
3067.1675, Cr1, 0.233
3067.193, Cr1, 0.736
3067.2407, OH1, 0.71
3067.2436, Fe1, 0.994
3067.323, Fe1, 0.324
3067.3565, OH1, 0.432
3067.6319, Fe1, 0.68
