Wavelength, Species, Priority
5915.2745, 8-2_OH, 1.0
5915.3263, 8-2_OH, 1.0
5915.4954, 8-2_OH, 1.0
5924.7047, 8-2_OH, 1.0
5924.7419, 8-2_OH, 1.0
5926.7988, 8-2_OH, 1.0
5926.8262, 8-2_OH, 1.0
5929.7715, 8-2_OH, 1.0
5930.3716, 8-2_OH, 1.0
5932.8094, 8-2_OH, 1.0
5932.9137, 8-2_OH, 1.0
5944.58, 8-2_OH, 1.0
5944.6935, 8-2_OH, 1.0
5945.9295, 8-2_OH, 1.0
5945.9334, 8-2_OH, 1.0
5948.2836, 8-2_OH, 1.0
5953.3352, 8-2_OH, 1.0
5953.5057, 8-2_OH, 1.0
5968.1161, 8-2_OH, 1.0
5969.3038, 8-2_OH, 1.0
5970.2563, 8-2_OH, 1.0
5970.2984, 8-2_OH, 1.0
5976.9529, 8-2_OH, 1.0
5977.2013, 8-2_OH, 1.0
5980.0, HgP_ML_broad, 1.0
5997.7142, 8-2_OH, 1.0
5997.8131, 8-2_OH, 1.0
6003.7437, 8-2_OH, 1.0
6004.0802, 8-2_OH, 1.0
6028.352, 8-2_OH, 1.0
6028.5149, 8-2_OH, 1.0
6033.7845, 8-2_OH, 1.0
6034.2157, 8-2_OH, 1.0
6067.149, 8-2_OH, 1.0
6130.0, HgP_ML_broad, 1.0
6143.3794, 5-0_OH, 1.0
6067.6877, 8-2_OH, 1.0
6136.54, 5-0_OH, 1.0
6136.5652, 5-0_OH, 1.0
6136.7668, 5-0_OH, 1.0
6136.8029, 5-0_OH, 1.0
6137.6096, 5-0_OH, 1.0
6137.6582, 5-0_OH, 1.0
6138.8593, 5-0_OH, 1.0
6138.8627, 5-0_OH, 1.0
6138.9664, 5-0_OH, 1.0
6139.0014, 5-0_OH, 1.0
6139.1922, 5-0_OH, 1.0
6139.2439, 5-0_OH, 1.0
6139.4456, 5-0_OH, 1.0
6139.4833, 5-0_OH, 1.0
6143.367, 5-0_OH, 1.0
6143.3794, 5-0_OH, 1.0
6143.6467, 5-0_OH, 1.0
6143.692, 5-0_OH, 1.0
6143.7665, 5-0_OH, 1.0
6143.7928, 5-0_OH, 1.0
6144.4608, 5-0_OH, 1.0
6144.4899, 5-0_OH, 1.0
6150.9145, 5-0_OH, 1.0
6150.9334, 5-0_OH, 1.0
6151.3331, 5-0_OH, 1.0
6154.0, Na_I_ML, 1.0
6161.0, Na_I_ML, 1.0
6169.4733, 5-0_OH, 1.0
6169.5784, 5-0_OH, 1.0
6170.6195, 5-0_OH, 1.0
6170.6542, 5-0_OH, 1.0
6174.1034, 5-0_OH, 1.0
6174.2815, 5-0_OH, 1.0
